(276324.6, -74.01, -0.38)
(276348.6, -74.01, -0.38)
(276364.6, -74.01, -0.38)
(276388.7, -74.01, -0.38)
(276412.6, -74.01, -0.38)
(276436.6, -74.01, -0.38)
(276460.6, -74.01, -0.38)
(276476.6, -74.0, -0.38)
(276500.6, -74.0, -0.38)
(276524.6, -74.0, -0.38)
(276548.6, -74.01, -0.38)
(276572.6, -74.01, -0.38)
(276596.7, -74.01, -0.38)
(276620.6, -74.01, -0.38)
(276644.6, -74.01, -0.38)
(276668.6, -74.01, -0.37)
(276692.6, -74.01, -0.38)
(276716.6, -74.01, -0.38)
(276740.6, -74.01, -0.38)
(276756.6, -74.01, -0.38)
(276780.6, -74.01, -0.37)
(276796.6, -74.01, -0.38)
(276820.6, -74.01, -0.38)
(276844.6, -74.01, -0.38)
(276868.6, -74.01, -0.38)
(276892.7, -74.01, -0.37)
(276916.6, -74.01, -0.37)
(276940.6, -74.01, -0.37)
(276964.6, -74.0, -0.38)
(276980.7, -74.0, -0.38)
(277004.6, -74.0, -0.38)
(277028.6, -74.0, -0.38)
(277052.6, -74.0, -0.38)
(277076.6, -74.0, -0.38)
(277100.6, -74.0, -0.38)
(277124.6, -74.0, -0.38)
(277148.6, -74.0, -0.38)
(277172.6, -74.0, -0.38)
(277188.6, -74.0, -0.38)
(277212.6, -74.0, -0.38)
(277236.6, -74.0, -0.38)
(277260.6, -74.0, -0.38)
(277284.6, -74.0, -0.38)
(277308.6, -74.0, -0.38)
(277332.6, -74.0, -0.37)
(277356.6, -74.0, -0.38)
(277380.6, -74.0, -0.38)
(277404.6, -74.0, -0.38)
(277428.6, -74.0, -0.38)
(277452.6, -74.0, -0.38)
(277476.6, -74.0, -0.38)
(277500.6, -74.0, -0.38)
(277524.6, -74.0, -0.38)
(277548.6, -74.0, -0.38)
(277572.6, -74.0, -0.38)
(277596.6, -74.01, -0.38)
(277620.6, -74.0, -0.38)
(277644.6, -74.0, -0.38)
(277668.6, -74.0, -0.38)
(277692.6, -74.0, -0.38)
(277716.6, -74.0, -0.38)
(277740.6, -74.0, -0.38)
(277764.6, -74.0, -0.38)
(277788.6, -74.0, -0.38)
(277812.6, -74.0, -0.38)
(277836.6, -74.0, -0.38)
(277860.6, -74.0, -0.38)
(277884.6, -74.0, -0.38)
(277908.6, -74.0, -0.38)
(277932.6, -74.0, -0.38)
(277956.6, -74.0, -0.38)
(277980.6, -74.0, -0.37)
(278004.6, -74.0, -0.38)
(278028.6, -74.0, -0.38)
(278052.6, -74.0, -0.38)
(278076.6, -74.0, -0.37)
(278100.6, -74.0, -0.38)
(278124.6, -74.0, -0.37)
(278148.6, -74.0, -0.37)
(278172.6, -74.0, -0.37)
(278196.6, -74.0, -0.38)
(278220.6, -74.0, -0.38)
(278244.6, -74.0, -0.38)
(278268.6, -74.01, -0.38)
